jira_key,dev_start_ts,review_start_ts,review_end_ts,testing_end_ts,dev_duration_hours,review_duration_hours,testing_duration_hours,exception_reason
BOOKKEEPER-578,2013-02-27T01:02:28Z,2016-03-14T23:34:34Z,2016-04-05T06:50:57Z,2016-04-05T06:51:08Z,26686.5350,511.2731,0.0031,
BOOKKEEPER-579,2013-02-27T05:52:28Z,,,2013-03-08T23:43:18Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-580,2013-02-27T05:59:21Z,,,2013-08-23T17:20:28Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-581,2013-03-05T20:31:50Z,,,2013-03-25T17:03:03Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-582,2013-03-06T00:38:25Z,,,2014-07-24T22:35:14Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-583,2013-03-07T06:33:57Z,,,2013-03-25T05:48:57Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-584,2013-03-12T06:05:43Z,,,2013-04-26T16:39:41Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-585,2013-03-14T19:04:38Z,,,2013-03-17T23:34:16Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-586,2013-03-20T06:35:03Z,,,2013-03-25T15:10:47Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-587,2013-03-20T13:14:57Z,,,2014-07-26T06:55:19Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-588,2013-03-20T13:15:33Z,2016-12-21T16:18:38Z,2017-08-01T22:50:00Z,2017-08-02T08:47:12Z,32931.0514,5358.5228,9.9533,
BOOKKEEPER-589,2013-03-20T13:18:43Z,,,2014-10-08T08:48:14Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-590,2013-03-21T09:33:17Z,,,2017-10-09T09:40:44Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-591,2013-03-21T12:53:27Z,,,,,,,missing_review_start;missing_review_end;missing_testing_end
